startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
01.01.2023,01.01.2023,listings,,,119575.87,1672.29
01.01.2023,01.01.2023,listings,1,,51969.04,1403.22
01.01.2023,01.01.2023,listings,2,,87711.83,1588.88
01.01.2023,01.01.2023,listings,3,,143051.27,1755.1
01.01.2023,01.01.2023,listings,4,,340032.19,2350.84
01.01.2023,01.01.2023,listings,,1,120905.11,1623.52
01.01.2023,01.01.2023,listings,,0,118490.07,1712.13
01.01.2023,01.01.2023,listings,1,1,49289.57,1254.42
01.01.2023,01.01.2023,listings,1,0,54697.93,1554.77
01.01.2023,01.01.2023,listings,2,1,87212.91,1522.59
01.01.2023,01.01.2023,listings,2,0,88198.15,1653.5
01.01.2023,01.01.2023,listings,3,1,150454.21,1765.55
01.01.2023,01.01.2023,listings,3,0,138308.39,1748.4
01.01.2023,01.01.2023,listings,4,1,500732.66,3003.23
01.01.2023,01.01.2023,listings,4,0,266503.54,2052.34
01.01.2023,01.01.2023,apartments,,,127552.84,1740.12
01.01.2023,01.01.2023,apartments,1,,54099.29,1458.94
01.01.2023,01.01.2023,apartments,2,,89010.95,1650.84
01.01.2023,01.01.2023,apartments,3,,143959.55,1786.17
01.01.2023,01.01.2023,apartments,4,,350641.71,2402.42
01.01.2023,01.01.2023,apartments,,1,136708.09,1771.53
01.01.2023,01.01.2023,apartments,,0,121461.85,1719.22
01.01.2023,01.01.2023,apartments,1,1,52646.48,1335.31
01.01.2023,01.01.2023,apartments,1,0,55254.4,1557.24
01.01.2023,01.01.2023,apartments,2,1,92877.25,1659.46
01.01.2023,01.01.2023,apartments,2,0,86237.35,1644.66
01.01.2023,01.01.2023,apartments,3,1,155725.65,1861.35
01.01.2023,01.01.2023,apartments,3,0,136891.63,1741
01.01.2023,01.01.2023,apartments,4,1,474988.49,2951.27
01.01.2023,01.01.2023,apartments,4,0,289515,2132.61
01.01.2023,01.01.2023,soldApartments,,,123990.97,1735.17
01.01.2023,01.01.2023,soldApartments,1,,50926.05,1463.59
01.01.2023,01.01.2023,soldApartments,2,,87354.08,1649.43
01.01.2023,01.01.2023,soldApartments,3,,143764,1787.55
01.01.2023,01.01.2023,soldApartments,4,,348057.67,2403.48
01.01.2023,01.01.2023,soldApartments,,1,135028.03,1772.75
01.01.2023,01.01.2023,soldApartments,,0,117381.33,1712.66
01.01.2023,01.01.2023,soldApartments,1,1,48003.51,1342.05
01.01.2023,01.01.2023,soldApartments,1,0,52963.9,1548.33
01.01.2023,01.01.2023,soldApartments,2,1,91189.43,1664.03
01.01.2023,01.01.2023,soldApartments,2,0,84855.61,1639.91
01.01.2023,01.01.2023,soldApartments,3,1,157829.87,1870.88
01.01.2023,01.01.2023,soldApartments,3,0,136153.02,1742.46
01.01.2023,01.01.2023,soldApartments,4,1,510484.25,3030.19
01.01.2023,01.01.2023,soldApartments,4,0,279023.49,2137.12
02.01.2023,02.01.2023,listings,,,120197.37,1679.44
02.01.2023,02.01.2023,listings,1,,52106.75,1410.18
02.01.2023,02.01.2023,listings,2,,87862.54,1593.66
02.01.2023,02.01.2023,listings,3,,143158.3,1760.22
02.01.2023,02.01.2023,listings,4,,340645.81,2361.01
02.01.2023,02.01.2023,listings,,1,122307.36,1636.57
02.01.2023,02.01.2023,listings,,0,118541.12,1713.1
02.01.2023,02.01.2023,listings,1,1,49487.8,1260.28
02.01.2023,02.01.2023,listings,1,0,54674.41,1557.15
02.01.2023,02.01.2023,listings,2,1,87600.08,1531.11
02.01.2023,02.01.2023,listings,2,0,88108.17,1652.2
02.01.2023,02.01.2023,listings,3,1,151614.34,1778.65
02.01.2023,02.01.2023,listings,3,0,137948.74,1748.87
02.01.2023,02.01.2023,listings,4,1,506314.5,3040.61
02.01.2023,02.01.2023,listings,4,0,266830.61,2058.21
02.01.2023,02.01.2023,apartments,,,128508.53,1746.92
02.01.2023,02.01.2023,apartments,1,,54072.97,1462.81
02.01.2023,02.01.2023,apartments,2,,89064.82,1651
02.01.2023,02.01.2023,apartments,3,,144275.88,1794.08
02.01.2023,02.01.2023,apartments,4,,355212.77,2426.73
02.01.2023,02.01.2023,apartments,,1,138289.29,1782.47
02.01.2023,02.01.2023,apartments,,0,122063.52,1723.5
02.01.2023,02.01.2023,apartments,1,1,52973.45,1342.24
02.01.2023,02.01.2023,apartments,1,0,54932.71,1557.09
02.01.2023,02.01.2023,apartments,2,1,93093.06,1662.68
02.01.2023,02.01.2023,apartments,2,0,86203.46,1642.71
02.01.2023,02.01.2023,apartments,3,1,156391.9,1870.42
02.01.2023,02.01.2023,apartments,3,0,137064.81,1748.65
02.01.2023,02.01.2023,apartments,4,1,479502.58,2979.28
02.01.2023,02.01.2023,apartments,4,0,293590.1,2152.78
02.01.2023,02.01.2023,soldApartments,,,123960.04,1734.65
02.01.2023,02.01.2023,soldApartments,1,,51037.42,1467.89
02.01.2023,02.01.2023,soldApartments,2,,87377.64,1648.7
02.01.2023,02.01.2023,soldApartments,3,,143484.09,1785.68
02.01.2023,02.01.2023,soldApartments,4,,345784.81,2392.59
