startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
01.01.2023,01.01.2023,listings,,,119573.65,1672.34
01.01.2023,01.01.2023,listings,1,,51898.48,1403.11
01.01.2023,01.01.2023,listings,2,,87782.8,1589.1
01.01.2023,01.01.2023,listings,3,,143026.3,1754.94
01.01.2023,01.01.2023,listings,4,,340798.77,2354.15
01.01.2023,01.01.2023,listings,,1,120945.78,1624.22
01.01.2023,01.01.2023,listings,,0,118453.23,1711.64
01.01.2023,01.01.2023,listings,1,1,49132.79,1254.55
01.01.2023,01.01.2023,listings,1,0,54720.39,1554.69
01.01.2023,01.01.2023,listings,2,1,87409.54,1523.64
01.01.2023,01.01.2023,listings,2,0,88146.17,1652.82
01.01.2023,01.01.2023,listings,3,1,150381.45,1765.79
01.01.2023,01.01.2023,listings,3,0,138308.72,1747.98
01.01.2023,01.01.2023,listings,4,1,504068.9,3018.18
01.01.2023,01.01.2023,listings,4,0,266644.04,2052.56
01.01.2023,01.01.2023,apartments,,,127420.98,1739.12
01.01.2023,01.01.2023,apartments,1,,54203.44,1458.34
01.01.2023,01.01.2023,apartments,2,,89022.63,1650.52
01.01.2023,01.01.2023,apartments,3,,143807.73,1784.96
01.01.2023,01.01.2023,apartments,4,,349333.61,2398.29
01.01.2023,01.01.2023,apartments,,1,136415.26,1769.59
01.01.2023,01.01.2023,apartments,,0,121408.13,1718.75
01.01.2023,01.01.2023,apartments,1,1,52893.62,1335.91
01.01.2023,01.01.2023,apartments,1,0,55255.55,1556.68
01.01.2023,01.01.2023,apartments,2,1,92877.09,1658.79
01.01.2023,01.01.2023,apartments,2,0,86252.13,1644.57
01.01.2023,01.01.2023,apartments,3,1,155407.97,1859.17
01.01.2023,01.01.2023,apartments,3,0,136817.18,1740.23
01.01.2023,01.01.2023,apartments,4,1,469695.76,2932.29
01.01.2023,01.01.2023,apartments,4,0,289329.61,2132.08
01.01.2023,01.01.2023,soldApartments,,,124222.2,1740.15
01.01.2023,01.01.2023,soldApartments,1,,50434.77,1461.32
01.01.2023,01.01.2023,soldApartments,2,,87201.82,1655.63
01.01.2023,01.01.2023,soldApartments,3,,143970.79,1793.38
01.01.2023,01.01.2023,soldApartments,4,,345621.61,2395.31
01.01.2023,01.01.2023,soldApartments,,1,134670.91,1779.5
01.01.2023,01.01.2023,soldApartments,,0,117928.44,1716.45
01.01.2023,01.01.2023,soldApartments,1,1,47845.22,1341.07
01.01.2023,01.01.2023,soldApartments,1,0,52247.19,1545.48
01.01.2023,01.01.2023,soldApartments,2,1,91080.34,1675
01.01.2023,01.01.2023,soldApartments,2,0,84641.61,1642.84
01.01.2023,01.01.2023,soldApartments,3,1,157450.65,1874.52
01.01.2023,01.01.2023,soldApartments,3,0,136670.13,1749.43
01.01.2023,01.01.2023,soldApartments,4,1,501544.22,3015.15
01.01.2023,01.01.2023,soldApartments,4,0,279354.5,2131.88
02.01.2023,02.01.2023,listings,,,120194.95,1679.49
02.01.2023,02.01.2023,listings,1,,51993.65,1409.62
02.01.2023,02.01.2023,listings,2,,87936.28,1593.91
02.01.2023,02.01.2023,listings,3,,143129.25,1760.1
02.01.2023,02.01.2023,listings,4,,341307.69,2364.18
02.01.2023,02.01.2023,listings,,1,122353.92,1637.37
02.01.2023,02.01.2023,listings,,0,118500.83,1712.54
02.01.2023,02.01.2023,listings,1,1,49262.25,1259.7
02.01.2023,02.01.2023,listings,1,0,54675.95,1556.84
02.01.2023,02.01.2023,listings,2,1,87825.33,1532.45
02.01.2023,02.01.2023,listings,2,0,88039.98,1651.35
02.01.2023,02.01.2023,listings,3,1,151513.98,1778.83
02.01.2023,02.01.2023,listings,3,0,137956.08,1748.54
02.01.2023,02.01.2023,listings,4,1,509342.87,3055.31
02.01.2023,02.01.2023,listings,4,0,266940.91,2058.31
02.01.2023,02.01.2023,apartments,,,128383.31,1745.99
02.01.2023,02.01.2023,apartments,1,,54174.23,1462.17
02.01.2023,02.01.2023,apartments,2,,89076.41,1650.63
02.01.2023,02.01.2023,apartments,3,,144129.67,1792.9
02.01.2023,02.01.2023,apartments,4,,353798.69,2422.87
02.01.2023,02.01.2023,apartments,,1,138002.2,1780.68
02.01.2023,02.01.2023,apartments,,0,122013.23,1723.02
02.01.2023,02.01.2023,apartments,1,1,53210.35,1342.74
02.01.2023,02.01.2023,apartments,1,0,54935.72,1556.52
02.01.2023,02.01.2023,apartments,2,1,93096.87,1661.97
02.01.2023,02.01.2023,apartments,2,0,86214.72,1642.56
02.01.2023,02.01.2023,apartments,3,1,156082.87,1868.27
02.01.2023,02.01.2023,apartments,3,0,136993.51,1747.9
02.01.2023,02.01.2023,apartments,4,1,473715.5,2960.23
02.01.2023,02.01.2023,apartments,4,0,293408.93,2152.25
02.01.2023,02.01.2023,soldApartments,,,124394.98,1740.63
02.01.2023,02.01.2023,soldApartments,1,,50554.07,1465.47
02.01.2023,02.01.2023,soldApartments,2,,87235.6,1655
02.01.2023,02.01.2023,soldApartments,3,,143788.67,1792.02
02.01.2023,02.01.2023,soldApartments,4,,344983.79,2392.68
