startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
01.01.2023,31.01.2023,listings,,,116041.97,1653
01.01.2023,31.01.2023,listings,1,,52167.38,1439.06
01.01.2023,31.01.2023,listings,2,,86441.94,1570.09
01.01.2023,31.01.2023,listings,3,,140008.25,1730.59
01.01.2023,31.01.2023,listings,4,,311520.52,2228.35
01.01.2023,31.01.2023,listings,,1,119177.99,1607.39
01.01.2023,31.01.2023,listings,,0,113808.39,1685.49
01.01.2023,31.01.2023,listings,1,1,50141.31,1284.25
01.01.2023,31.01.2023,listings,1,0,53825.39,1565.74
01.01.2023,31.01.2023,listings,2,1,86612.36,1504.62
01.01.2023,31.01.2023,listings,2,0,86294.08,1626.89
01.01.2023,31.01.2023,listings,3,1,150124.95,1744.63
01.01.2023,31.01.2023,listings,3,0,134331.84,1722.71
01.01.2023,31.01.2023,listings,4,1,468244.35,2837.85
01.01.2023,31.01.2023,listings,4,0,247690.23,1980.11
01.01.2023,31.01.2023,apartments,,,124036.82,1723.9
01.01.2023,31.01.2023,apartments,1,,53971.55,1479.61
01.01.2023,31.01.2023,apartments,2,,87571.67,1629.33
01.01.2023,31.01.2023,apartments,3,,142357.04,1780.68
01.01.2023,31.01.2023,apartments,4,,341709.15,2363.34
01.01.2023,31.01.2023,apartments,,1,137544.07,1783.46
01.01.2023,31.01.2023,apartments,,0,116174.06,1689.23
01.01.2023,31.01.2023,apartments,1,1,53492.11,1364.29
01.01.2023,31.01.2023,apartments,1,0,54279.59,1553.71
01.01.2023,31.01.2023,apartments,2,1,92861.06,1659.17
01.01.2023,31.01.2023,apartments,2,0,84277.24,1610.75
01.01.2023,31.01.2023,apartments,3,1,158055.44,1882.09
01.01.2023,31.01.2023,apartments,3,0,133884.52,1725.95
01.01.2023,31.01.2023,apartments,4,1,477445.55,2969.22
01.01.2023,31.01.2023,apartments,4,0,279755.8,2086.81
01.01.2023,31.01.2023,soldApartments,,,121589.92,1723.26
01.01.2023,31.01.2023,soldApartments,1,,51417.68,1482.79
01.01.2023,31.01.2023,soldApartments,2,,86757.2,1635.61
01.01.2023,31.01.2023,soldApartments,3,,143650.92,1789.69
01.01.2023,31.01.2023,soldApartments,4,,328615.3,2316.31
01.01.2023,31.01.2023,soldApartments,,1,135467.33,1790.64
01.01.2023,31.01.2023,soldApartments,,0,114088.49,1686.83
01.01.2023,31.01.2023,soldApartments,1,1,48942.7,1368.87
01.01.2023,31.01.2023,soldApartments,1,0,52825.23,1547.58
01.01.2023,31.01.2023,soldApartments,2,1,92492.58,1681.51
01.01.2023,31.01.2023,soldApartments,2,0,83390.92,1608.67
01.01.2023,31.01.2023,soldApartments,3,1,161361.45,1899.97
01.01.2023,31.01.2023,soldApartments,3,0,134701.07,1733.97
01.01.2023,31.01.2023,soldApartments,4,1,469901.29,2900.93
01.01.2023,31.01.2023,soldApartments,4,0,270362.56,2075.27
01.02.2023,28.02.2023,listings,,,116415.69,1661.01
01.02.2023,28.02.2023,listings,1,,52574.25,1449.9
01.02.2023,28.02.2023,listings,2,,86529.16,1570.71
01.02.2023,28.02.2023,listings,3,,142035.02,1748.08
01.02.2023,28.02.2023,listings,4,,314439.98,2259.44
01.02.2023,28.02.2023,listings,,1,119974.45,1614.89
01.02.2023,28.02.2023,listings,,0,113921.17,1693.35
01.02.2023,28.02.2023,listings,1,1,50533.09,1290.5
01.02.2023,28.02.2023,listings,1,0,54139.54,1572.13
01.02.2023,28.02.2023,listings,2,1,86684.22,1501.82
01.02.2023,28.02.2023,listings,2,0,86394.5,1630.54
01.02.2023,28.02.2023,listings,3,1,154204.54,1773.81
01.02.2023,28.02.2023,listings,3,0,135471.07,1734.2
01.02.2023,28.02.2023,listings,4,1,458372.25,2831.06
01.02.2023,28.02.2023,listings,4,0,252768.12,2014.51
01.02.2023,28.02.2023,apartments,,,124575.94,1730.24
01.02.2023,28.02.2023,apartments,1,,54375.04,1490.23
01.02.2023,28.02.2023,apartments,2,,87741.26,1632.43
01.02.2023,28.02.2023,apartments,3,,143355.38,1787.74
01.02.2023,28.02.2023,apartments,4,,346575.01,2388.03
01.02.2023,28.02.2023,apartments,,1,140549.13,1804.37
01.02.2023,28.02.2023,apartments,,0,115712.22,1689.11
01.02.2023,28.02.2023,apartments,1,1,54179.86,1368.98
01.02.2023,28.02.2023,apartments,1,0,54493.02,1563.52
01.02.2023,28.02.2023,apartments,2,1,93426.99,1663.02
01.02.2023,28.02.2023,apartments,2,0,84342.22,1614.14
01.02.2023,28.02.2023,apartments,3,1,163140.31,1923.55
01.02.2023,28.02.2023,apartments,3,0,133289.16,1718.64
01.02.2023,28.02.2023,apartments,4,1,493199.71,3059.37
01.02.2023,28.02.2023,apartments,4,0,281328.7,2089.29
01.02.2023,28.02.2023,soldApartments,,,121800.08,1731.6
01.02.2023,28.02.2023,soldApartments,1,,52147.95,1491.92
01.02.2023,28.02.2023,soldApartments,2,,87466.88,1646.54
01.02.2023,28.02.2023,soldApartments,3,,144650.06,1800.78
01.02.2023,28.02.2023,soldApartments,4,,329108.93,2323.66
01.02.2023,28.02.2023,soldApartments,,1,139535.45,1823.5
01.02.2023,28.02.2023,soldApartments,,0,113114.64,1686.59
01.02.2023,28.02.2023,soldApartments,1,1,49371.94,1368.18
01.02.2023,28.02.2023,soldApartments,1,0,53552.66,1554.53
01.02.2023,28.02.2023,soldApartments,2,1,93791.84,1697.01
01.02.2023,28.02.2023,soldApartments,2,0,84083.33,1619.54
01.02.2023,28.02.2023,soldApartments,3,1,169004.53,1970.71
01.02.2023,28.02.2023,soldApartments,3,0,133607.78,1723.74
01.02.2023,28.02.2023,soldApartments,4,1,488071.81,2991.71
01.02.2023,28.02.2023,soldApartments,4,0,267677.34,2065.49
01.03.2023,31.03.2023,listings,,,117127.34,1671.25
01.03.2023,31.03.2023,listings,1,,53108.13,1469.22
01.03.2023,31.03.2023,listings,2,,87026.01,1578.17
01.03.2023,31.03.2023,listings,3,,142232.77,1755.69
01.03.2023,31.03.2023,listings,4,,314807.76,2265.67
01.03.2023,31.03.2023,listings,,1,120834.79,1626.5
01.03.2023,31.03.2023,listings,,0,114522.2,1702.69
01.03.2023,31.03.2023,listings,1,1,51978.91,1318.13
01.03.2023,31.03.2023,listings,1,0,53944.59,1581.14
01.03.2023,31.03.2023,listings,2,1,87336.83,1509.07
01.03.2023,31.03.2023,listings,2,0,86751.04,1639.31
01.03.2023,31.03.2023,listings,3,1,155797.52,1792.47
01.03.2023,31.03.2023,listings,3,0,134910.29,1735.84
01.03.2023,31.03.2023,listings,4,1,450535.58,2780.28
01.03.2023,31.03.2023,listings,4,0,257005.83,2046.52
01.03.2023,31.03.2023,apartments,,,125274.71,1743.04
01.03.2023,31.03.2023,apartments,1,,54547.55,1501.26
01.03.2023,31.03.2023,apartments,2,,88584.56,1646.85
01.03.2023,31.03.2023,apartments,3,,143157.04,1792.21
01.03.2023,31.03.2023,apartments,4,,349656.93,2420.59
01.03.2023,31.03.2023,apartments,,1,143117.5,1833.05
01.03.2023,31.03.2023,apartments,,0,115762.46,1695.06
01.03.2023,31.03.2023,apartments,1,1,55502.04,1391.68
01.03.2023,31.03.2023,apartments,1,0,54009.06,1563.09
01.03.2023,31.03.2023,apartments,2,1,95295.73,1693.07
01.03.2023,31.03.2023,apartments,2,0,84710.7,1620.17
01.03.2023,31.03.2023,apartments,3,1,164936.05,1940.23
01.03.2023,31.03.2023,apartments,3,0,132470.45,1719.58
01.03.2023,31.03.2023,apartments,4,1,497712.49,3105.96
01.03.2023,31.03.2023,apartments,4,0,285320.91,2122.77
01.03.2023,31.03.2023,soldApartments,,,121723.37,1742.2
01.03.2023,31.03.2023,soldApartments,1,,52578.25,1508.32
01.03.2023,31.03.2023,soldApartments,2,,88258.25,1661.75
01.03.2023,31.03.2023,soldApartments,3,,142744.62,1799.62
01.03.2023,31.03.2023,soldApartments,4,,333365.06,2352.02
01.03.2023,31.03.2023,soldApartments,,1,143104.62,1858.86
01.03.2023,31.03.2023,soldApartments,,0,112069.11,1689.53
01.03.2023,31.03.2023,soldApartments,1,1,51353.4,1394.4
01.03.2023,31.03.2023,soldApartments,1,0,53129.12,1559.56
01.03.2023,31.03.2023,soldApartments,2,1,95819.48,1732.09
01.03.2023,31.03.2023,soldApartments,2,0,84538.05,1627.15
01.03.2023,31.03.2023,soldApartments,3,1,170684.21,1989.73
01.03.2023,31.03.2023,soldApartments,3,0,130945.95,1719.34
01.03.2023,31.03.2023,soldApartments,4,1,499267.26,3071.93
01.03.2023,31.03.2023,soldApartments,4,0,271444.32,2083.32
01.04.2023,30.04.2023,listings,,,117352.55,1672.45
01.04.2023,30.04.2023,listings,1,,53034.93,1479.92
01.04.2023,30.04.2023,listings,2,,86946.54,1577.57
01.04.2023,30.04.2023,listings,3,,142456.79,1751.67
01.04.2023,30.04.2023,listings,4,,315229.47,2271.37
01.04.2023,30.04.2023,listings,,1,121332.44,1632.94
01.04.2023,30.04.2023,listings,,0,114560.81,1700.16
01.04.2023,30.04.2023,listings,1,1,51666.53,1324.67
01.04.2023,30.04.2023,listings,1,0,54040.41,1593.99
01.04.2023,30.04.2023,listings,2,1,87330.5,1509.85
01.04.2023,30.04.2023,listings,2,0,86613.79,1636.26
01.04.2023,30.04.2023,listings,3,1,156571.97,1798.85
01.04.2023,30.04.2023,listings,3,0,134593.99,1725.4
01.04.2023,30.04.2023,listings,4,1,444121.29,2785.8
01.04.2023,30.04.2023,listings,4,0,259870.85,2050.43
01.04.2023,30.04.2023,apartments,,,125767.37,1746.55
01.04.2023,30.04.2023,apartments,1,,54484.03,1512.56
01.04.2023,30.04.2023,apartments,2,,89007.55,1649.96
01.04.2023,30.04.2023,apartments,3,,143699.66,1792.01
01.04.2023,30.04.2023,apartments,4,,349293.27,2416.6
01.04.2023,30.04.2023,apartments,,1,144834.9,1844.88
01.04.2023,30.04.2023,apartments,,0,115700.5,1694.63
01.04.2023,30.04.2023,apartments,1,1,56324.33,1396.55
01.04.2023,30.04.2023,apartments,1,0,53451.81,1577.62
01.04.2023,30.04.2023,apartments,2,1,96074.95,1699.32
01.04.2023,30.04.2023,apartments,2,0,84992.9,1621.92
01.04.2023,30.04.2023,apartments,3,1,166354.81,1954.06
01.04.2023,30.04.2023,apartments,3,0,132690.38,1713.26
01.04.2023,30.04.2023,apartments,4,1,498368.4,3118.5
01.04.2023,30.04.2023,apartments,4,0,283706.95,2107.79
01.04.2023,30.04.2023,soldApartments,,,120364.49,1748.18
01.04.2023,30.04.2023,soldApartments,1,,52800.82,1538.06
01.04.2023,30.04.2023,soldApartments,2,,88611.99,1672.89
01.04.2023,30.04.2023,soldApartments,3,,140710.2,1795.88
01.04.2023,30.04.2023,soldApartments,4,,318773.33,2306.47
01.04.2023,30.04.2023,soldApartments,,1,141142.46,1866.06
01.04.2023,30.04.2023,soldApartments,,0,111547.25,1698.15
01.04.2023,30.04.2023,soldApartments,1,1,53077.49,1421.85
01.04.2023,30.04.2023,soldApartments,1,0,52685.27,1586.59
01.04.2023,30.04.2023,soldApartments,2,1,96631.48,1752.68
01.04.2023,30.04.2023,soldApartments,2,0,84903.17,1635.98
01.04.2023,30.04.2023,soldApartments,3,1,168801.43,1985.61
01.04.2023,30.04.2023,soldApartments,3,0,129602.93,1720.87
01.04.2023,30.04.2023,soldApartments,4,1,460203.78,2941.27
01.04.2023,30.04.2023,soldApartments,4,0,267722.65,2077.33
01.05.2023,31.05.2023,listings,,,117525.4,1656.77
01.05.2023,31.05.2023,listings,1,,52510.55,1455.01
01.05.2023,31.05.2023,listings,2,,86429.7,1561.36
01.05.2023,31.05.2023,listings,3,,142260.33,1734.18
01.05.2023,31.05.2023,listings,4,,319613.99,2275.62
01.05.2023,31.05.2023,listings,,1,122673.27,1624.3
01.05.2023,31.05.2023,listings,,0,113876.33,1679.79
01.05.2023,31.05.2023,listings,1,1,51114.89,1298.24
01.05.2023,31.05.2023,listings,1,0,53556.35,1572.48
01.05.2023,31.05.2023,listings,2,1,86769.86,1494.24
01.05.2023,31.05.2023,listings,2,0,86135.78,1619.35
01.05.2023,31.05.2023,listings,3,1,157046.99,1786.52
01.05.2023,31.05.2023,listings,3,0,133816.72,1704.29
01.05.2023,31.05.2023,listings,4,1,460411.45,2859.9
01.05.2023,31.05.2023,listings,4,0,257665.49,2018.55
01.05.2023,31.05.2023,apartments,,,125948.44,1735.63
01.05.2023,31.05.2023,apartments,1,,54194.03,1489.75
01.05.2023,31.05.2023,apartments,2,,88619.04,1637.22
01.05.2023,31.05.2023,apartments,3,,143535.93,1782.09
01.05.2023,31.05.2023,apartments,4,,352065.72,2424.9
01.05.2023,31.05.2023,apartments,,1,145061.74,1829.4
01.05.2023,31.05.2023,apartments,,0,115829.96,1685.98
01.05.2023,31.05.2023,apartments,1,1,55670.87,1364.91
01.05.2023,31.05.2023,apartments,1,0,53339.43,1561.98
01.05.2023,31.05.2023,apartments,2,1,95325.8,1680.45
01.05.2023,31.05.2023,apartments,2,0,84821.42,1612.74
01.05.2023,31.05.2023,apartments,3,1,164971.55,1934.27
01.05.2023,31.05.2023,apartments,3,0,133147.56,1708.34
01.05.2023,31.05.2023,apartments,4,1,511384.25,3171.36
01.05.2023,31.05.2023,apartments,4,0,282040.34,2096.81
01.05.2023,31.05.2023,soldApartments,,,118610.69,1739.25
01.05.2023,31.05.2023,soldApartments,1,,52707.67,1527.91
01.05.2023,31.05.2023,soldApartments,2,,87328.35,1677.45
01.05.2023,31.05.2023,soldApartments,3,,137384.58,1762.87
01.05.2023,31.05.2023,soldApartments,4,,308386.09,2290.58
01.05.2023,31.05.2023,soldApartments,,1,137779.79,1859.84
01.05.2023,31.05.2023,soldApartments,,0,110871.57,1690.56
01.05.2023,31.05.2023,soldApartments,1,1,55170.13,1416.19
01.05.2023,31.05.2023,soldApartments,1,0,51692.44,1573.97
01.05.2023,31.05.2023,soldApartments,2,1,94044.54,1764.65
01.05.2023,31.05.2023,soldApartments,2,0,84404.41,1639.49
01.05.2023,31.05.2023,soldApartments,3,1,162761.58,1944.24
01.05.2023,31.05.2023,soldApartments,3,0,127848.87,1694.71
01.05.2023,31.05.2023,soldApartments,4,1,440687.78,2927.29
01.05.2023,31.05.2023,soldApartments,4,0,262915.18,2071.74
