startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
01.01.2023,31.01.2023,listings,,,113118.49,1624.7
01.01.2023,31.01.2023,listings,1,,51868.25,1432.74
01.01.2023,31.01.2023,listings,2,,85142.67,1549.24
01.01.2023,31.01.2023,listings,3,,136766.4,1695.81
01.01.2023,31.01.2023,listings,4,,295923.04,2141.4
01.01.2023,31.01.2023,listings,,1,112264.97,1540.75
01.01.2023,31.01.2023,listings,,0,113726.39,1684.49
01.01.2023,31.01.2023,listings,1,1,49503.43,1270.51
01.01.2023,31.01.2023,listings,1,0,53803.47,1565.5
01.01.2023,31.01.2023,listings,2,1,83908.67,1461.03
01.01.2023,31.01.2023,listings,2,0,86213.33,1625.77
01.01.2023,31.01.2023,listings,3,1,141268.72,1649.79
01.01.2023,31.01.2023,listings,3,0,134240.18,1721.63
01.01.2023,31.01.2023,listings,4,1,414700.19,2540.6
01.01.2023,31.01.2023,listings,4,0,247547.63,1978.82
01.01.2023,31.01.2023,apartments,,,121038.02,1696.91
01.01.2023,31.01.2023,apartments,1,,53683.48,1473.9
01.01.2023,31.01.2023,apartments,2,,86505.1,1611.89
01.01.2023,31.01.2023,apartments,3,,139403.08,1748.92
01.01.2023,31.01.2023,apartments,4,,325778.63,2274.44
01.01.2023,31.01.2023,apartments,,1,129528.84,1711.86
01.01.2023,31.01.2023,apartments,,0,116095.4,1688.21
01.01.2023,31.01.2023,apartments,1,1,52827.19,1350.85
01.01.2023,31.01.2023,apartments,1,0,54233.65,1552.95
01.01.2023,31.01.2023,apartments,2,1,90180.36,1615.26
01.01.2023,31.01.2023,apartments,2,0,84216,1609.8
01.01.2023,31.01.2023,apartments,3,1,149811.82,1793.64
01.01.2023,31.01.2023,apartments,3,0,133785.42,1724.78
01.01.2023,31.01.2023,apartments,4,1,426910.02,2688.39
01.01.2023,31.01.2023,apartments,4,0,279619.83,2085.51
01.01.2023,31.01.2023,soldApartments,,,118956.36,1698.95
01.01.2023,31.01.2023,soldApartments,1,,51286.78,1479.53
01.01.2023,31.01.2023,soldApartments,2,,85752.64,1618.85
01.01.2023,31.01.2023,soldApartments,3,,140770.44,1759.08
01.01.2023,31.01.2023,soldApartments,4,,315165.27,2242.16
01.01.2023,31.01.2023,soldApartments,,1,127983.55,1721.56
01.01.2023,31.01.2023,soldApartments,,0,114076.72,1686.73
01.01.2023,31.01.2023,soldApartments,1,1,48582.75,1359.9
01.01.2023,31.01.2023,soldApartments,1,0,52824.59,1547.56
01.01.2023,31.01.2023,soldApartments,2,1,89776.64,1636.2
01.01.2023,31.01.2023,soldApartments,2,0,83390.81,1608.66
01.01.2023,31.01.2023,soldApartments,3,1,152827.38,1809.31
