startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
02.01.2023,08.01.2023,listings,,,117310.69,1657.91
02.01.2023,08.01.2023,listings,1,,51708.38,1414.62
02.01.2023,08.01.2023,listings,2,,86673.6,1573.39
02.01.2023,08.01.2023,listings,3,,140887.74,1737.96
02.01.2023,08.01.2023,listings,4,,331167.71,2316.13
02.01.2023,08.01.2023,listings,,1,120610.27,1617.75
02.01.2023,08.01.2023,listings,,0,114812.72,1688.31
02.01.2023,08.01.2023,listings,1,1,49303.83,1260.92
02.01.2023,08.01.2023,listings,1,0,53878.89,1553.35
02.01.2023,08.01.2023,listings,2,1,87000.33,1513.57
02.01.2023,08.01.2023,listings,2,0,86378.88,1627.35
02.01.2023,08.01.2023,listings,3,1,149804.76,1753.2
02.01.2023,08.01.2023,listings,3,0,135512.44,1728.77
02.01.2023,08.01.2023,listings,4,1,501542.37,3014.86
02.01.2023,08.01.2023,listings,4,0,257180.02,2012.69
02.01.2023,08.01.2023,apartments,,,125980.78,1731.18
02.01.2023,08.01.2023,apartments,1,,53597.68,1464
02.01.2023,08.01.2023,apartments,2,,88177.92,1636.58
02.01.2023,08.01.2023,apartments,3,,143142.96,1784.06
02.01.2023,08.01.2023,apartments,4,,349120.99,2396.27
02.01.2023,08.01.2023,apartments,,1,137828.43,1776.6
02.01.2023,08.01.2023,apartments,,0,118527.43,1702.61
02.01.2023,08.01.2023,apartments,1,1,52982.45,1338.93
02.01.2023,08.01.2023,apartments,1,0,54037.73,1553.46
02.01.2023,08.01.2023,apartments,2,1,93019.17,1657.23
02.01.2023,08.01.2023,apartments,2,0,84912.76,1622.65
02.01.2023,08.01.2023,apartments,3,1,156345.54,1865.88
02.01.2023,08.01.2023,apartments,3,0,135522.69,1736.84
02.01.2023,08.01.2023,apartments,4,1,480085.7,2982.06
02.01.2023,08.01.2023,apartments,4,0,285356.13,2111.05
02.01.2023,08.01.2023,soldApartments,,,122611.72,1726.8
02.01.2023,08.01.2023,soldApartments,1,,50382.04,1464.58
02.01.2023,08.01.2023,soldApartments,2,,86532.09,1640.09
02.01.2023,08.01.2023,soldApartments,3,,143228.82,1785.32
02.01.2023,08.01.2023,soldApartments,4,,341306.5,2369.47
02.01.2023,08.01.2023,soldApartments,,1,134980.47,1775.31
02.01.2023,08.01.2023,soldApartments,,0,115495.26,1698.88
02.01.2023,08.01.2023,soldApartments,1,1,48066.02,1341.76
02.01.2023,08.01.2023,soldApartments,1,0,51857.01,1542.8
02.01.2023,08.01.2023,soldApartments,2,1,91162.7,1670.2
02.01.2023,08.01.2023,soldApartments,2,0,83617.26,1621.13
02.01.2023,08.01.2023,soldApartments,3,1,157730.43,1865.47
02.01.2023,08.01.2023,soldApartments,3,0,135603.03,1743.16
02.01.2023,08.01.2023,soldApartments,4,1,502504.66,3012.98
02.01.2023,08.01.2023,soldApartments,4,0,273972.98,2100.68
09.01.2023,15.01.2023,listings,,,117558.16,1660.8
09.01.2023,15.01.2023,listings,1,,52003.52,1428.24
09.01.2023,15.01.2023,listings,2,,86931.91,1575.83
09.01.2023,15.01.2023,listings,3,,140767.58,1738.96
09.01.2023,15.01.2023,listings,4,,322390.04,2274.41
09.01.2023,15.01.2023,listings,,1,120928.71,1621.36
09.01.2023,15.01.2023,listings,,0,115077.49,1689.83
09.01.2023,15.01.2023,listings,1,1,49890.14,1273.57
09.01.2023,15.01.2023,listings,1,0,53841,1562.71
09.01.2023,15.01.2023,listings,2,1,87346.33,1516.89
09.01.2023,15.01.2023,listings,2,0,86563.34,1628.25
09.01.2023,15.01.2023,listings,3,1,150895.49,1758.63
09.01.2023,15.01.2023,listings,3,0,134860.61,1727.49
09.01.2023,15.01.2023,listings,4,1,488079.2,2940.68
09.01.2023,15.01.2023,listings,4,0,253702.45,1998.2
09.01.2023,15.01.2023,apartments,,,125591.65,1730.65
09.01.2023,15.01.2023,apartments,1,,53716.15,1473.24
09.01.2023,15.01.2023,apartments,2,,88218.1,1636.08
09.01.2023,15.01.2023,apartments,3,,143192.88,1785.11
09.01.2023,15.01.2023,apartments,4,,344047.35,2373.17
09.01.2023,15.01.2023,apartments,,1,137512.1,1778.4
09.01.2023,15.01.2023,apartments,,0,118322.29,1701.54
09.01.2023,15.01.2023,apartments,1,1,53406.51,1348.92
09.01.2023,15.01.2023,apartments,1,0,53928.43,1558.48
09.01.2023,15.01.2023,apartments,2,1,93261.44,1660.03
09.01.2023,15.01.2023,apartments,2,0,84908.27,1620.36
09.01.2023,15.01.2023,apartments,3,1,157365.1,1872.19
09.01.2023,15.01.2023,apartments,3,0,135230.24,1736.19
09.01.2023,15.01.2023,apartments,4,1,472544.6,2950.46
09.01.2023,15.01.2023,apartments,4,0,284102.04,2103.86
09.01.2023,15.01.2023,soldApartments,,,122772.54,1728.33
09.01.2023,15.01.2023,soldApartments,1,,50703.68,1475.77
09.01.2023,15.01.2023,soldApartments,2,,86850,1639.96
09.01.2023,15.01.2023,soldApartments,3,,143654.26,1789.49
09.01.2023,15.01.2023,soldApartments,4,,335202.15,2340.95
09.01.2023,15.01.2023,soldApartments,,1,135325.06,1783.4
09.01.2023,15.01.2023,soldApartments,,0,115699.22,1697.3
09.01.2023,15.01.2023,soldApartments,1,1,48724.73,1356.54
09.01.2023,15.01.2023,soldApartments,1,0,51912.27,1548.58
09.01.2023,15.01.2023,soldApartments,2,1,92094.28,1677.91
09.01.2023,15.01.2023,soldApartments,2,0,83605.52,1616.48
09.01.2023,15.01.2023,soldApartments,3,1,159062.05,1876.87
09.01.2023,15.01.2023,soldApartments,3,0,135660.19,1744.16
09.01.2023,15.01.2023,soldApartments,4,1,485833.51,2958.91
09.01.2023,15.01.2023,soldApartments,4,0,273485.67,2087.76
16.01.2023,22.01.2023,listings,,,117620.73,1658.56
16.01.2023,22.01.2023,listings,1,,52304.1,1430.18
16.01.2023,22.01.2023,listings,2,,86694.48,1572.25
16.01.2023,22.01.2023,listings,3,,140444.95,1734.26
16.01.2023,22.01.2023,listings,4,,326011.48,2283.57
16.01.2023,22.01.2023,listings,,1,121320.62,1618.95
16.01.2023,22.01.2023,listings,,0,114946.54,1687.18
16.01.2023,22.01.2023,listings,1,1,50085.5,1280.35
16.01.2023,22.01.2023,listings,1,0,54194.87,1557.87
16.01.2023,22.01.2023,listings,2,1,87026.26,1510.15
16.01.2023,22.01.2023,listings,2,0,86403.92,1626.64
16.01.2023,22.01.2023,listings,3,1,151222.75,1754
16.01.2023,22.01.2023,listings,3,0,134330.65,1723.07
16.01.2023,22.01.2023,listings,4,1,495118.4,2958.96
16.01.2023,22.01.2023,listings,4,0,255955.47,2003.78
16.01.2023,22.01.2023,apartments,,,126079.86,1732.3
16.01.2023,22.01.2023,apartments,1,,54471.11,1476.53
16.01.2023,22.01.2023,apartments,2,,88129.26,1635.06
16.01.2023,22.01.2023,apartments,3,,143394.92,1785.99
16.01.2023,22.01.2023,apartments,4,,347999.59,2388.38
16.01.2023,22.01.2023,apartments,,1,138937.16,1787.34
16.01.2023,22.01.2023,apartments,,0,118409.17,1699.46
16.01.2023,22.01.2023,apartments,1,1,53965.57,1361.88
16.01.2023,22.01.2023,apartments,1,0,54813.63,1554.2
16.01.2023,22.01.2023,apartments,2,1,93300.2,1660.24
16.01.2023,22.01.2023,apartments,2,0,84831.57,1619
16.01.2023,22.01.2023,apartments,3,1,158712.34,1883.02
16.01.2023,22.01.2023,apartments,3,0,134970.15,1732.62
16.01.2023,22.01.2023,apartments,4,1,482575.88,2993.79
16.01.2023,22.01.2023,apartments,4,0,285967.97,2109.32
