startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
02.01.2023,08.01.2023,listings,,,114096.39,1627.35
02.01.2023,08.01.2023,listings,1,,51397.28,1408.28
02.01.2023,08.01.2023,listings,2,,85267.81,1551.14
02.01.2023,08.01.2023,listings,3,,137407.11,1700.49
02.01.2023,08.01.2023,listings,4,,313153.89,2216.79
02.01.2023,08.01.2023,listings,,1,113293.41,1548.54
02.01.2023,08.01.2023,listings,,0,114704.28,1687.02
02.01.2023,08.01.2023,listings,1,1,48689.34,1248
02.01.2023,08.01.2023,listings,1,0,53841.66,1552.95
02.01.2023,08.01.2023,listings,2,1,84169.49,1468.36
02.01.2023,08.01.2023,listings,2,0,86258.55,1625.81
02.01.2023,08.01.2023,listings,3,1,140694.65,1655.4
02.01.2023,08.01.2023,listings,3,0,135425.32,1727.67
02.01.2023,08.01.2023,listings,4,1,442585.14,2691.93
02.01.2023,08.01.2023,listings,4,0,256946.47,2010.45
02.01.2023,08.01.2023,apartments,,,122719.01,1701.92
02.01.2023,08.01.2023,apartments,1,,53268.69,1457.58
02.01.2023,08.01.2023,apartments,2,,86985.38,1617.44
02.01.2023,08.01.2023,apartments,3,,140017.34,1750.25
02.01.2023,08.01.2023,apartments,4,,332062.78,2301.62
02.01.2023,08.01.2023,apartments,,1,129547.87,1702.99
02.01.2023,08.01.2023,apartments,,0,118422.98,1701.24
02.01.2023,08.01.2023,apartments,1,1,52288.02,1325.04
02.01.2023,08.01.2023,apartments,1,0,53970.12,1552.38
02.01.2023,08.01.2023,apartments,2,1,90218.03,1611.91
02.01.2023,08.01.2023,apartments,2,0,84805.13,1621.17
02.01.2023,08.01.2023,apartments,3,1,147938.94,1775.22
02.01.2023,08.01.2023,apartments,3,0,135445.15,1735.84
02.01.2023,08.01.2023,apartments,4,1,428441.75,2697.92
02.01.2023,08.01.2023,apartments,4,0,285137.22,2108.66
02.01.2023,08.01.2023,soldApartments,,,119793.45,1701.54
02.01.2023,08.01.2023,soldApartments,1,,50251.26,1461.3
02.01.2023,08.01.2023,soldApartments,2,,85493.22,1623
02.01.2023,08.01.2023,soldApartments,3,,140301.45,1754.26
02.01.2023,08.01.2023,soldApartments,4,,326236.01,2288.95
02.01.2023,08.01.2023,soldApartments,,1,127263.4,1706.25
02.01.2023,08.01.2023,soldApartments,,0,115495.27,1698.83
02.01.2023,08.01.2023,soldApartments,1,1,47727.03,1333.38
02.01.2023,08.01.2023,soldApartments,1,0,51859.5,1542.8
02.01.2023,08.01.2023,soldApartments,2,1,88473.68,1625.98
02.01.2023,08.01.2023,soldApartments,2,0,83617.11,1621.13
02.01.2023,08.01.2023,soldApartments,3,1,149262.49,1775.76
