startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
01.01.2023,01.01.2023,listings,,,119571.67,1672.32
01.01.2023,01.01.2023,listings,1,,51907.69,1403.1
01.01.2023,01.01.2023,listings,2,,87782.35,1589.11
01.01.2023,01.01.2023,listings,3,,143016.64,1754.88
01.01.2023,01.01.2023,listings,4,,340798.77,2354.15
01.01.2023,01.01.2023,listings,,1,120941.79,1624.21
01.01.2023,01.01.2023,listings,,0,118453.37,1711.59
01.01.2023,01.01.2023,listings,1,1,49147.61,1254.56
01.01.2023,01.01.2023,listings,1,0,54720.71,1554.48
01.01.2023,01.01.2023,listings,2,1,87405.06,1523.59
01.01.2023,01.01.2023,listings,2,0,88149.63,1652.89
01.01.2023,01.01.2023,listings,3,1,150387.48,1765.93
01.01.2023,01.01.2023,listings,3,0,138291.8,1747.79
01.01.2023,01.01.2023,listings,4,1,504119.99,3018.34
01.01.2023,01.01.2023,listings,4,0,266683.71,2052.74
01.01.2023,01.01.2023,apartments,,,127388.54,1738.84
01.01.2023,01.01.2023,apartments,1,,54219.57,1458.17
01.01.2023,01.01.2023,apartments,2,,89011.34,1650.3
01.01.2023,01.01.2023,apartments,3,,143781.57,1784.66
01.01.2023,01.01.2023,apartments,4,,349333.61,2398.29
01.01.2023,01.01.2023,apartments,,1,136377.45,1769.29
01.01.2023,01.01.2023,apartments,,0,121379.3,1718.49
01.01.2023,01.01.2023,apartments,1,1,52929.39,1335.94
01.01.2023,01.01.2023,apartments,1,0,55255.39,1556.31
01.01.2023,01.01.2023,apartments,2,1,92856.51,1658.47
01.01.2023,01.01.2023,apartments,2,0,86246.9,1644.43
01.01.2023,01.01.2023,apartments,3,1,155379.3,1858.95
01.01.2023,01.01.2023,apartments,3,0,136793.96,1739.9
01.01.2023,01.01.2023,apartments,4,1,469695.76,2932.29
01.01.2023,01.01.2023,apartments,4,0,289329.61,2132.08
01.01.2023,01.01.2023,soldApartments,,,124106.51,1734.84
01.01.2023,01.01.2023,soldApartments,1,,50801.43,1459.25
01.01.2023,01.01.2023,soldApartments,2,,86652.26,1645.66
01.01.2023,01.01.2023,soldApartments,3,,142845.98,1784.21
01.01.2023,01.01.2023,soldApartments,4,,349885.65,2418.43
01.01.2023,01.01.2023,soldApartments,,1,134922.71,1776.19
01.01.2023,01.01.2023,soldApartments,,0,117446.33,1709.38
01.01.2023,01.01.2023,soldApartments,1,1,47855.38,1339.53
01.01.2023,01.01.2023,soldApartments,1,0,52916.98,1545.21
01.01.2023,01.01.2023,soldApartments,2,1,90199.57,1660.1
01.01.2023,01.01.2023,soldApartments,2,0,84268.26,1635.96
01.01.2023,01.01.2023,soldApartments,3,1,156044.29,1865.67
01.01.2023,01.01.2023,soldApartments,3,0,135519.9,1738.99
01.01.2023,01.01.2023,soldApartments,4,1,512438.54,3091.23
01.01.2023,01.01.2023,soldApartments,4,0,278886.74,2124.56
02.01.2023,02.01.2023,listings,,,120193.06,1679.47
02.01.2023,02.01.2023,listings,1,,52002.43,1409.6
02.01.2023,02.01.2023,listings,2,,87935.86,1593.92
02.01.2023,02.01.2023,listings,3,,143120.16,1760.04
02.01.2023,02.01.2023,listings,4,,341307.69,2364.18
02.01.2023,02.01.2023,listings,,1,122352.97,1637.39
02.01.2023,02.01.2023,listings,,0,118498.98,1712.48
02.01.2023,02.01.2023,listings,1,1,49276.71,1259.71
02.01.2023,02.01.2023,listings,1,0,54676.28,1556.64
02.01.2023,02.01.2023,listings,2,1,87824.02,1532.44
02.01.2023,02.01.2023,listings,2,0,88040.37,1651.37
02.01.2023,02.01.2023,listings,3,1,151520.06,1778.97
02.01.2023,02.01.2023,listings,3,0,137940.54,1748.37
02.01.2023,02.01.2023,listings,4,1,509394.28,3055.48
02.01.2023,02.01.2023,listings,4,0,266977.53,2058.48
02.01.2023,02.01.2023,apartments,,,128353.26,1745.74
02.01.2023,02.01.2023,apartments,1,,54189.85,1462.01
02.01.2023,02.01.2023,apartments,2,,89064.74,1650.41
02.01.2023,02.01.2023,apartments,3,,144112.18,1792.7
