startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
01.01.2023,31.01.2023,listings,,,116042.43,1652.97
01.01.2023,31.01.2023,listings,1,,52074.35,1438.48
01.01.2023,31.01.2023,listings,2,,86436.71,1570.1
01.01.2023,31.01.2023,listings,3,,140010.65,1730.54
01.01.2023,31.01.2023,listings,4,,311424.55,2228.34
01.01.2023,31.01.2023,listings,,1,119124.98,1606.69
01.01.2023,31.01.2023,listings,,0,113847.86,1685.92
01.01.2023,31.01.2023,listings,1,1,49959.8,1282.49
01.01.2023,31.01.2023,listings,1,0,53805.32,1566.17
01.01.2023,31.01.2023,listings,2,1,86555.24,1504.17
01.01.2023,31.01.2023,listings,2,0,86333.89,1627.29
01.01.2023,31.01.2023,listings,3,1,150129.92,1743.75
01.01.2023,31.01.2023,listings,3,0,134342.79,1723.14
01.01.2023,31.01.2023,listings,4,1,467409.44,2835.69
01.01.2023,31.01.2023,listings,4,0,247753.27,1980.43
01.01.2023,31.01.2023,apartments,,,124126.36,1724.84
01.01.2023,31.01.2023,apartments,1,,53758.43,1480.22
01.01.2023,31.01.2023,apartments,2,,87583.91,1629.99
01.01.2023,31.01.2023,apartments,3,,142485.18,1781.51
01.01.2023,31.01.2023,apartments,4,,342874.99,2367.06
01.01.2023,31.01.2023,apartments,,1,137838.19,1785.6
01.01.2023,31.01.2023,apartments,,0,116195.26,1689.69
01.01.2023,31.01.2023,apartments,1,1,52957.86,1363.5
01.01.2023,31.01.2023,apartments,1,0,54264.96,1554.06
01.01.2023,31.01.2023,apartments,2,1,92860.1,1660.03
01.01.2023,31.01.2023,apartments,2,0,84305.1,1611.32
01.01.2023,31.01.2023,apartments,3,1,158397.92,1884.24
01.01.2023,31.01.2023,apartments,3,0,133937.14,1726.32
01.01.2023,31.01.2023,apartments,4,1,483394.48,2989.83
01.01.2023,31.01.2023,apartments,4,0,279738.16,2087.24
01.01.2023,31.01.2023,soldApartments,,,121017.45,1717.4
01.01.2023,31.01.2023,soldApartments,1,,51732.57,1485.54
01.01.2023,31.01.2023,soldApartments,2,,86837.03,1629.82
01.01.2023,31.01.2023,soldApartments,3,,143064.18,1781.41
01.01.2023,31.01.2023,soldApartments,4,,329995.48,2322.05
01.01.2023,31.01.2023,soldApartments,,1,135114.9,1780.26
