startDate,endDate,indexType,roomsCount,newApartment,avgPrice,avgPricePerSurface
02.01.2023,08.01.2023,listings,,,117311.49,1657.86
02.01.2023,08.01.2023,listings,1,,51811.24,1415.27
02.01.2023,08.01.2023,listings,2,,86610.86,1573.13
02.01.2023,08.01.2023,listings,3,,140910.49,1738.03
02.01.2023,08.01.2023,listings,4,,330647.62,2313.6
02.01.2023,08.01.2023,listings,,1,120561.35,1617.01
02.01.2023,08.01.2023,listings,,0,114850.1,1688.8
02.01.2023,08.01.2023,listings,1,1,49521.33,1261.89
02.01.2023,08.01.2023,listings,1,0,53877.07,1553.64
02.01.2023,08.01.2023,listings,2,1,86803.14,1512.3
02.01.2023,08.01.2023,listings,2,0,86437.16,1628.08
02.01.2023,08.01.2023,listings,3,1,149891.5,1752.95
02.01.2023,08.01.2023,listings,3,0,135505.46,1729.04
02.01.2023,08.01.2023,listings,4,1,499084.45,3002.77
02.01.2023,08.01.2023,listings,4,0,257090.92,2012.64
02.01.2023,08.01.2023,apartments,,,126093.88,1732.07
02.01.2023,08.01.2023,apartments,1,,53490.53,1464.69
02.01.2023,08.01.2023,apartments,2,,88172.99,1637
02.01.2023,08.01.2023,apartments,3,,143281.22,1785.18
02.01.2023,08.01.2023,apartments,4,,350414.06,2399.72
02.01.2023,08.01.2023,apartments,,1,138103.95,1778.4
02.01.2023,08.01.2023,apartments,,0,118573.23,1703.07
02.01.2023,08.01.2023,apartments,1,1,52722.57,1338.57
02.01.2023,08.01.2023,apartments,1,0,54034.01,1553.95
02.01.2023,08.01.2023,apartments,2,1,93022.73,1657.94
02.01.2023,08.01.2023,apartments,2,0,84906.66,1622.89
02.01.2023,08.01.2023,apartments,3,1,156655.81,1868.04
02.01.2023,08.01.2023,apartments,3,0,135584.37,1737.49
02.01.2023,08.01.2023,apartments,4,1,485717.13,3000.62
02.01.2023,08.01.2023,apartments,4,0,285514.62,2111.5
02.01.2023,08.01.2023,soldApartments,,,122092.41,1721.27
02.01.2023,08.01.2023,soldApartments,1,,50781.94,1466.51
02.01.2023,08.01.2023,soldApartments,2,,86696.67,1634.73
02.01.2023,08.01.2023,soldApartments,3,,142906.36,1779.72
02.01.2023,08.01.2023,soldApartments,4,,341805.15,2369.55
02.01.2023,08.01.2023,soldApartments,,1,135120.09,1767.52
02.01.2023,08.01.2023,soldApartments,,0,114639.38,1694.81
02.01.2023,08.01.2023,soldApartments,1,1,48265.76,1343.4
02.01.2023,08.01.2023,soldApartments,1,0,52379.61,1544.68
02.01.2023,08.01.2023,soldApartments,2,1,91240.51,1659.84
02.01.2023,08.01.2023,soldApartments,2,0,83874.32,1619.13
02.01.2023,08.01.2023,soldApartments,3,1,158120.55,1861
02.01.2023,08.01.2023,soldApartments,3,0,134904.42,1736.98
02.01.2023,08.01.2023,soldApartments,4,1,510678.84,3018.82
02.01.2023,08.01.2023,soldApartments,4,0,271467.52,2099.12
09.01.2023,15.01.2023,listings,,,117558.94,1660.76
09.01.2023,15.01.2023,listings,1,,51989.06,1428.57
09.01.2023,15.01.2023,listings,2,,86900.75,1575.7
09.01.2023,15.01.2023,listings,3,,140775.43,1738.86
09.01.2023,15.01.2023,listings,4,,322059.56,2272.84
09.01.2023,15.01.2023,listings,,1,120864.04,1620.58
09.01.2023,15.01.2023,listings,,0,115126.18,1690.35
09.01.2023,15.01.2023,listings,1,1,49872.54,1273.67
09.01.2023,15.01.2023,listings,1,0,53827.98,1563.15
09.01.2023,15.01.2023,listings,2,1,87223.41,1515.98
09.01.2023,15.01.2023,listings,2,0,86613.62,1628.83
09.01.2023,15.01.2023,listings,3,1,150871.16,1757.55
09.01.2023,15.01.2023,listings,3,0,134893.48,1727.97
09.01.2023,15.01.2023,listings,4,1,486349.13,2932.78
09.01.2023,15.01.2023,listings,4,0,253677.71,1998.15
09.01.2023,15.01.2023,apartments,,,125708.53,1731.59
09.01.2023,15.01.2023,apartments,1,,53538.25,1474.19
09.01.2023,15.01.2023,apartments,2,,88205.71,1636.36
09.01.2023,15.01.2023,apartments,3,,143333.95,1786.16
09.01.2023,15.01.2023,apartments,4,,345426.07,2377.1
09.01.2023,15.01.2023,apartments,,1,137812.58,1780.42
09.01.2023,15.01.2023,apartments,,0,118368.56,1701.98
09.01.2023,15.01.2023,apartments,1,1,52992.32,1348.75
09.01.2023,15.01.2023,apartments,1,0,53907.5,1559.04
09.01.2023,15.01.2023,apartments,2,1,93248.64,1660.54
09.01.2023,15.01.2023,apartments,2,0,84901.84,1620.53
09.01.2023,15.01.2023,apartments,3,1,157688.46,1874.27
09.01.2023,15.01.2023,apartments,3,0,135299.01,1736.84
09.01.2023,15.01.2023,apartments,4,1,478696.52,2971.46
09.01.2023,15.01.2023,apartments,4,0,284263.74,2104.33
09.01.2023,15.01.2023,soldApartments,,,122133.21,1721.92
09.01.2023,15.01.2023,soldApartments,1,,51050.4,1477.73
09.01.2023,15.01.2023,soldApartments,2,,86957.81,1634.15
09.01.2023,15.01.2023,soldApartments,3,,143209.45,1782.75
09.01.2023,15.01.2023,soldApartments,4,,334839.25,2336.48
09.01.2023,15.01.2023,soldApartments,,1,135234,1773.6
09.01.2023,15.01.2023,soldApartments,,0,114768.51,1692.87
09.01.2023,15.01.2023,soldApartments,1,1,48895.62,1357.35
09.01.2023,15.01.2023,soldApartments,1,0,52366,1551.22
09.01.2023,15.01.2023,soldApartments,2,1,92125.36,1667.09
09.01.2023,15.01.2023,soldApartments,2,0,83786.43,1613.94
